Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,,,,,,,0.02,0.02,0.04,,,,,,,,,,,
Indonesia,,,,,0.07,0.05,,,,,,,,0.08,,,,0.08,,
Cambodia,,,,,,,0.05,,,,,,,,,,,,,0.12
Lao PDR,,,,,,,0.04,,,,,,,,,,,,,
Myanmar,,0.06,0.03,0.04,0.11,0.07,0.16,,,,,,,,,,,,,
Malaysia,0.22,,0.40,,0.47,,0.65,,0.60,,0.61,,0.79,1.01,1.04,1.03,1.09,,1.26,1.30
Philippines,,,,,,,0.14,0.13,,0.11,,0.11,,0.11,,0.12,,0.14,,
Singapore,1.32,1.41,1.74,1.82,1.82,2.02,2.06,2.03,2.10,2.16,2.13,2.34,2.62,2.16,2.02,2.15,2.01,2.01,2.20,
Thailand,0.12,0.10,,0.25,0.24,0.25,0.23,0.25,0.24,0.22,0.23,0.20,0.20,0.23,,0.36,,0.44,0.48,0.63
Vietnam,,,,,,,0.18,,,,,,,,,0.19,,0.37,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
