Cleansed Data,Raw Data,Description,Link to Issue,Source Link,Cleansed?,Combine?,Remarks,,
High-technology exports (current US$),,"High-technology exports are products with high R&D intensity, such as in aerospace, computers, pharmaceuticals, scientific instruments, and electrical machinery. Data are in current U.S. dollars.",,https://data.worldbank.org/indicator/TX.VAL.TECH.CD?view=chart,,,,,
"Patent applications, residents",,"Patent applications are worldwide patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office for exclusive rights for an invention--a product or process that provides a new way of doing something or offers a new technical solution to a problem. A patent provides protection for the invention to the owner of the patent for a limited period, generally 20 years.",,https://data.worldbank.org/indicator/IP.PAT.RESD?view=chart,,,,,
Researchers in R&D (per million people),,"Researchers in R&D are professionals engaged in the conception or creation of new knowledge, products, processes, methods, or systems and in the management of the projects concerned. Postgraduate PhD students (ISCED97 level 6) engaged in R&D are included.",,https://data.worldbank.org/indicator/SP.POP.SCIE.RD.P6?view=chart,,No,,,
Technicians in R&D (per million people),,"Technicians in R&D and equivalent staff are people whose main tasks require technical knowledge and experience in engineering, physical and life sciences (technicians), or social sciences and humanities (equivalent staff). They participate in R&D by performing scientific and technical tasks involving the application of concepts and operational methods, normally under the supervision of researchers.",,https://data.worldbank.org/indicator/SP.POP.TECH.RD.P6?view=chart,,,,,
Research and development expenditure (% of GDP),,"Expenditures for research and development are current and capital expenditures (both public and private) on creative work undertaken systematically to increase knowledge, including knowledge of humanity, culture, and society, and the use of knowledge for new applications. R&D covers basic research, applied research, and experimental development.",,https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS?view=chart,,,,,
Scientific and technical journal articles,,"Scientific and technical journal articles refer to the number of scientific and engineering articles published in the following fields: physics, biology, chemistry, mathematics, clinical medicine, biomedical research, engineering and technology, and earth and space sciences.",,https://data.worldbank.org/indicator/IP.JRN.ARTC.SC?view=chart,,No,,,
"Air transport, registered carrier departures worldwide",,Registered carrier departures worldwide are domestic takeoffs and takeoffs abroad of air carriers registered in the country.,,https://data.worldbank.org/indicator/IS.AIR.DPRT?view=chart ,,,,,
Rail lines (total route-km),,"Rail lines are the length of railway route available for train service, irrespective of the number of parallel tracks.",,https://data.worldbank.org/indicator/IS.RRS.TOTL.KM?view=chart ,,,,,
Investment in energy with private participation (current US$),,"Investment in energy projects with private participation covers infrastructure projects in energy (electricity and natural gas transmission and distribution) that have reached financial closure and directly or indirectly serve the public. Movable assets and small projects such as windmills are excluded. The types of projects included are operations and management contracts, operations and management contracts with major capital expenditure, greenfield projects (in which a private entity or a public-private joint venture builds and operates a new facility), and divestitures. Investment commitments are the sum of investments in facilities and investments in government assets. Investments in facilities are the resources the project company commits to invest during the contract period either in new facilities or in expansion and modernization of existing facilities. Investments in government assets are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or the use of specific radio spectrums. Data are in current U.S. dollars.",,https://data.worldbank.org/indicator/IE.PPI.ENGY.CD?view=chart,,,,,
Investment in transport with private participation (current US$),,"Investment in transport projects with private participation covers infrastructure projects in transport that have reached financial closure and directly or indirectly serve the public. Movable assets and small projects are excluded. The types of projects included are operations and management contracts, operations and management contracts with major capital expenditure, greenfield projects (in which a private entity or a public-private joint venture builds and operates a new facility), and divestitures. Investment commitments are the sum of investments in facilities and investments in government assets. Investments in facilities are the resources the project company commits to invest during the contract period either in new facilities or in expansion and modernization of existing facilities. Investments in government assets are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or the use of specific radio spectrums. Data are in current U.S. dollars.",,https://data.worldbank.org/indicator/IE.PPI.TRAN.CD?view=chart ,,,,,
Investment in telecoms with private participation (current US$),,"Investment in telecom projects with private participation covers infrastructure projects in telecommunications that have reached financial closure and directly or indirectly serve the public. Movable assets and small projects are excluded. The types of projects included are operations and management contracts, operations and management contracts with major capital expenditure, greenfield projects (in which a private entity or a public-private joint venture builds and operates a new facility), and divestitures. Investment commitments are the sum of investments in facilities and investments in government assets. Investments in facilities are the resources the project company commits to invest during the contract period either in new facilities or in expansion and modernization of existing facilities. Investments in government assets are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or the use of specific radio spectrums. Data are in current U.S. dollars.",,https://data.worldbank.org/indicator/IE.PPI.TELE.CD?view=chart ,,,,,
