Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,"595,500,000.00","2,470,000,000.00","3,203,600,000.00","2,725,000,000.00","330,000,000.00","125,000,000.00",,,"187,600,000.00","829,000,000.00","158,000,000.00","32,000,000.00","662,000,000.00","423,200,000.00","2,885,200,000.00",,"2,300,000,000.00","366,000,000.00","1,901,000,000.00","1,930,700,000.00","1,690,500,000.00","191,000,000.00","8,068,800,000.00",
Cambodia,,,,,"127,000,000.00",,"16,000,000.00",,"28,000,000.00","4,100,000.00",,"25,000,000.00","25,000,000.00",,"655,030,000.00","47,100,000.00",,"1,863,500,000.00",,,,,,,
Lao PDR,,,,"535,500,000.00",,,,,,,,,"1,250,000,000.00","1,070,000,000.00",,"869,500,000.00",,"3,860,000,000.00","455,600,000.00","5,888,420,000.00",,"2,022,000,000.00",,,
Myanmar,,,"394,000,000.00",,"325,000,000.00",,,,,,,,,"556,100,000.00",,,,,,,"170,000,000.00",,,,
Malaysia,"1,330,000,000.00","3,181,700,000.00","1,200,000,000.00",,"215,200,000.00",,"195,000,000.00",,"1,765,300,000.00","12,300,000.00","2,050,000,000.00","1,210,000,000.00","1,600,000,000.00","203,000,000.00",,,"181,500,000.00","34,000,000.00","24,000,000.00","2,311,900,000.00","1,283,000,000.00",,"2,675,000,000.00",,
Philippines,"1,775,300,000.00","1,152,800,000.00","2,238,200,000.00","1,460,000,000.00","1,238,000,000.00","1,172,000,000.00",,"1,642,000,000.00","530,000,000.00",,"335,300,000.00","225,110,000.00","3,400,000.00","537,800,000.00","1,943,000,000.00","1,657,000,000.00","4,604,680,000.00","2,149,250,000.00","936,460,000.00","1,005,000,000.00","1,134,290,000.00",,"5,141,700,000.00","2,478,400,000.00",
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,"171,300,000.00","503,500,000.00","1,384,800,000.00","2,388,700,000.00","2,140,600,000.00","574,000,000.00","190,000,000.00","858,500,000.00","889,800,000.00",,"1,336,000,000.00",,"1,609,000,000.00","197,300,000.00",,"2,341,000,000.00",,"745,361,000.00","1,644,300,000.00","2,006,800,000.00","1,716,400,000.00","3,537,710,000.00","1,678,265,000.00","435,580,000.00",
Vietnam,,,,"205,000,000.00","110,000,000.00",,"39,500,000.00",,"87,000,000.00","1,780,000,000.00","412,000,000.00",,"93,200,000.00",,"367,360,000.00","170,300,000.00","349,300,000.00","943,050,000.00","2,771,770,000.00","317,500,000.00",,"1,790,000,000.00",,"200,000,000.00",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
