Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,"250,000,000.00","1,249,000,000.00","1,804,000,000.00","3,694,000,000.00","1,510,600,000.00","579,300,000.00","1,259,600,000.00","642,300,000.00","1,421,300,000.00","1,321,500,000.00","939,500,000.00","895,000,000.00","1,537,600,000.00","1,476,100,000.00","3,516,600,000.00","2,876,000,000.00","2,975,900,000.00","1,845,600,000.00","2,102,000,000.00","2,663,700,000.00","2,312,300,000.00","2,051,400,000.00",,,
Cambodia,,,"12,600,000.00","17,500,000.00",,"1,500,000.00","8,000,000.00","78,000,000.00","13,800,000.00","1,100,000.00","2,400,000.00","12,000,000.00","28,370,000.00","17,000,000.00","7,500,000.00","68,800,000.00","3,100,000.00","165,800,000.00","37,000,000.00","389,580,000.00","18,250,000.00","3,900,000.00","6,800,000.00",,,,,
Lao PDR,,,,,,,"92,000,000.00",,"1,400,000.00","6,700,000.00","5,450,000.00","12,300,000.00","19,670,000.00","6,100,000.00","34,100,000.00","10,100,000.00","10,000,000.00",,,"125,000,000.00",,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,"1,500,000,000.00",,,
Malaysia,"948,500,000.00","78,500,000.00","78,500,000.00","78,500,000.00","826,500,000.00","1,141,000,000.00","1,733,200,000.00","672,800,000.00","174,500,000.00","466,100,000.00","466,800,000.00","614,100,000.00","571,300,000.00","438,200,000.00","1,203,600,000.00","483,000,000.00","487,000,000.00","595,000,000.00","882,440,000.00","778,160,000.00","1,013,530,000.00","1,033,740,000.00","929,200,000.00","924,800,000.00","799,200,000.00",,,
Philippines,"54,200,000.00","54,200,000.00","54,200,000.00","54,200,000.00","735,000,000.00","593,200,000.00","1,191,500,000.00","2,400,900,000.00","546,700,000.00","626,000,000.00","384,200,000.00","1,157,000,000.00","706,400,000.00","767,100,000.00","929,600,000.00","672,100,000.00","618,900,000.00","1,525,500,000.00","1,208,600,000.00","1,198,000,000.00","1,384,500,000.00","1,104,300,000.00","1,619,700,000.00","1,120,000,000.00","1,032,000,000.00",,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,"60,000,000.00","252,000,000.00","1,854,000,000.00","2,460,000,000.00","160,000,000.00","370,000,000.00","1,013,000,000.00","643,800,000.00","331,400,000.00","377,000,000.00","511,300,000.00","1,672,000,000.00","1,198,200,000.00","664,000,000.00","612,600,000.00","944,600,000.00","1,130,000,000.00","1,031,000,000.00","406,000,000.00","539,000,000.00","420,000,000.00","597,000,000.00","1,169,000,000.00","1,706,000,000.00","2,016,000,000.00",,,
Vietnam,,,,,,"256,000,000.00",,,,,"130,000,000.00",,,"230,000,000.00","70,000,000.00",,"681,700,000.00","645,000,000.00",,"267,000,000.00",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
