Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,"351,500,000.00","26,700,000.00","502,800,000.00",,,,"1,028,000,000.00",,,,,"159,200,000.00",,"372,000,000.00","1,139,500,000.00",,"220,000,000.00",,,"1,988,500,000.00",,,,"462,000,000.00",
Cambodia,,,"120,000,000.00",,,,,,"65,000,000.00","7,200,000.00",,"53,100,000.00",,"40,100,000.00",,,,,,,,,,,
Lao PDR,,,,,,,,"1,500,000.00",,,,,,,,,"1,500,000.00",,,,,,,,
Myanmar,,,,"50,000,000.00",,,,,,,,,,,,,,,,,,,,,
Malaysia,"814,000,000.00","2,010,600,000.00","1,889,000,000.00","2,948,100,000.00","2,126,800,000.00","591,900,000.00","314,200,000.00","1,079,700,000.00","684,300,000.00",,"1,569,900,000.00","342,110,000.00","586,950,000.00","531,000,000.00","272,000,000.00","425,000,000.00",,"253,300,000.00",,,"381,000,000.00",,,,
Philippines,,,"300,000,000.00","514,000,000.00","1,126,700,000.00",,"78,300,000.00","4,900,000.00","908,500,000.00","30,100,000.00",,,,"214,600,000.00",,"315,300,000.00","96,000,000.00","343,000,000.00","370,000,000.00","49,700,000.00","46,670,000.00",,"1,023,900,000.00","2,471,900,000.00",
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,"1,700,000,000.00","150,000,000.00",,"27,400,000.00","63,730,000.00",,"455,000,000.00",,"45,000,000.00","439,000,000.00",,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,"10,000,000.00",,"15,000,000.00","70,000,000.00",,,,,"20,000,000.00",,,,"133,000,000.00","267,000,000.00","365,000,000.00","200,000,000.00","155,000,000.00",,,"275,500,000.00",,,"4,500,000.00",
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
