Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,6458,6458,6458,6458,6458,6458,6458,6458,,,,4992,4992,4992,5041,5041,5041,5324,5324,,,,,,,,,,,,,4684,4684,4684,4684,,
Cambodia,,,,,,,,,,,600,600,600,600,600,600,600,600,600,600,601,,603,,603,650,,,,,,,,,,,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,3185,3185,3185,3185,3185,3185,3185,3185,3185,3185,3335.935484,3335.935484,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,1639,1639,1639,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1648,1648,,1622,1636,1636,1667,1667,1657,1667,1667,1665,1665,1665,1987,2250,2250,2250,,
Philippines,,,,,,,,,,,479,479,479,479,479,456,456,468,491,491,491,491,491,491,491,,,,479,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,3735,3735,3735,3735,3735,3735,3728,3728,3818,3728,3861,3861,3870,3870,3870,4041,4041,4041,4044,4044,4103,4044,4044,4044,4044,,,,4429,4429,4429,5327,5327,5327,5327,,
Vietnam,,,,,,,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2831.7,2832,2832,,,2545,2652,2600,2671,,,,2347,2347,2347,2347,2347,3186,3186,2347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
