Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,,,,,,,288.30781,280.35485,286.47737,,,,,,,,,,,
Indonesia,,,,,212.64966,199.21818,,,,,,,,89.5267,,,,,,
Cambodia,,,,,,,17.58006,,,,,,,,,,,,,30.25697
Lao PDR,,,,,,,15.81145,,,,,,,,,,,,,
Myanmar,,7.16838,7.22432,10.82643,,11.90978,17.19041,,,,,,,,,,,,,
Malaysia,89.08709,,152.80051,,274.23048,,293.19283,,499.55943,,368.36167,,599.0369,1065.74849,1458.16339,1639.35371,1773.11518,,2017.41691,2261.44431
Philippines,,,,,,,53.79216,70.62646,,80.05445,,78.19885,,81.89701,,85.05678,,189.40794,,
Singapore,2551.20333,2656.36433,3050.73094,3295.75613,4245.03143,4160.9331,4380.99205,4706.45212,4881.85078,5291.76865,5424.78639,5768.56967,5740.83731,6148.9616,6306.51919,6495.98722,6442.27614,6665.19427,6658.49893,
Thailand,100.83676,72.82194,,168.10287,,279.2707,,279.46263,,311.33864,,322.3941,,330.58747,,543.47373,,799.01948,973.99847,874.28723
Vietnam,,,,,,,113.87068,,,,,,,,,,,674.80676,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
