Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Brunei Darussalam,32.2,16.9,23.7,33.6,28,30.1,33.7,41.9,44,45.5,47.7,77.6,105.1,120.2
Indonesia,337.3,288.4,283.8,311.3,364.7,468.6,552.5,542.3,643.7,956.1,1281.3,1769.3,1992.1,2927.7
Cambodia,13,13,24.2,24.4,36.4,36.8,45.8,50.9,50.8,61.1,57.9,67.4,76.2,84
Lao PDR,8.6,5.9,11.9,17.7,37,22.6,42.8,26.2,35,40,43.7,48.2,60.4,69
Myanmar,12.9,11.7,12.6,11.5,15.8,50.7,30.7,36.8,60.2,86.4,55.5,96.4,48.9,38.2
Malaysia,1248.9,1078.9,1201.6,1335.7,1989.9,2391,3155.6,3850.7,6216.2,8549.7,11280.7,14962.2,15730.5,17720.1
Philippines,312.3,278.1,366.4,347.5,344,428.4,414.4,457.8,525.9,585.5,652.3,841.5,842.4,915.8
Singapore,4249,4495.6,4778.6,5342.8,7232.1,7757.1,7985.6,8015.1,8468.4,8799.7,9617,9896.5,10602.3,10658.5
Thailand,1548.5,1714.7,1877,2104.6,2687.7,3498.3,4271,4788.1,5709.1,5989.1,6966.2,7553.3,8364.7,8630.8
Vietnam,185.3,215.1,205.9,283.3,317.6,387.8,441,504.5,784.4,871.8,1112,1217.9,1581,1848.4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
